scenario,gridiv,time,QH,QE,QN,QS,T2,after_spinup,hour,name,type,paved,bldgs,green_fraction,green_blue_fraction,impervious_fraction
present,1,2024-03-03 07:00:00,82.26927854489453,2.8532942942283857,137.0513010838498,51.92872824472689,29.223286817273053,False,7,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 08:00:00,147.9957876453148,5.221587091748719,297.65362322334556,144.43624848628204,31.285490362342788,False,8,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 09:00:00,209.57765973041694,8.327892432828486,446.901148273861,228.99559611061554,34.57616749438871,False,9,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 10:00:00,251.0456944654213,10.702638229772,547.700933912913,285.95260121771975,37.58691880842459,False,10,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 11:00:00,277.81809127113223,11.81557048256533,611.3104097197537,321.67674796605615,38.388466875207975,False,11,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 12:00:00,290.80089118501,14.02513416391559,643.6055313595389,338.7795060106132,36.490358765122615,False,12,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 13:00:00,271.41354256428116,21.598876327652295,610.2286627281286,317.21624383619513,35.035035328436585,False,13,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 14:00:00,218.4289469104989,40.09487781825663,525.0688625937414,266.5450378649859,33.47080728283308,False,14,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 15:00:00,144.7971419591545,57.00362855926346,387.1863213691902,185.38555085077223,31.577826302089722,False,15,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 16:00:00,84.14460671100046,48.40703685174702,219.2013691140963,86.64972555134882,30.471371548257313,False,16,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 17:00:00,45.778332335504984,27.271307560783452,80.85061058317265,7.80097068688422,30.049804120245472,False,17,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 18:00:00,23.789850078129728,13.657971540165425,2.222871533363032,-35.22495008493212,29.72089493426606,False,18,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 19:00:00,18.881169882649626,8.788817308859159,-15.950521834428935,-43.620509025937714,29.35884129957759,False,19,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 20:00:00,19.72479410033264,6.4347606626877045,-15.312309033825528,-41.471863796845874,29.083831556647194,False,20,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 21:00:00,20.81741302550291,5.075322020056308,-13.870621371362496,-39.76335641692171,29.035164823883992,False,21,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 22:00:00,21.499958079884916,4.534888222617533,-12.811716845348728,-38.84656314785118,28.91693468650332,False,22,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-03 23:00:00,22.010178609740752,4.203057518051736,-12.238802958976242,-38.45203908676873,28.78411225576915,False,23,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 00:00:00,22.540945138423513,3.7961901969899627,-11.992919010159687,-38.33005434557316,28.59038077962786,False,0,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 01:00:00,23.277639304703083,3.3556725556834457,-11.280317550718658,-37.913629411105184,28.180568784902206,False,1,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 02:00:00,23.896239049139695,2.9538885662177594,-10.7541359826655,-37.60426359802295,27.918504669655395,False,2,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 03:00:00,24.21437418142932,2.6476652471907016,-10.818634178802645,-37.68067360742267,27.797387240313117,False,3,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 04:00:00,24.383895108244687,2.415010298849641,-11.049996652864046,-37.84890205995837,27.804924848943713,False,4,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 05:00:00,25.413100416955995,2.347593548799748,-8.39385999752634,-36.15455396328208,28.02867279043424,False,5,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 06:00:00,37.73576178787798,2.876316882352333,25.94488788418079,-14.667190786049522,28.678667405085495,False,6,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 07:00:00,76.1740833183167,4.418514908997209,124.69099836795216,44.09840014063824,30.093085209698557,False,7,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 08:00:00,135.06266046284154,6.302064878650064,269.06538169295686,127.70065635146524,32.01233960497741,False,8,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 09:00:00,194.79425370642545,7.756948458211693,411.7007640892407,209.1495619246036,34.39446386053752,False,9,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 10:00:00,246.26882124563278,9.461772443404904,537.42650776764,281.69591407860236,36.39158896435527,False,10,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 11:00:00,289.2947126710442,9.181471269247071,637.2658656923466,338.78968175205534,36.01779174960973,False,11,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 12:00:00,304.76892910204697,8.203305311219156,662.6503538708298,349.6781194575637,35.14997305347082,False,12,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 13:00:00,284.4022075578386,7.2991975376517475,604.3947145633988,312.6933094679084,34.587813483121366,False,13,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 14:00:00,254.88416230822338,6.298502017083639,531.5437631592621,270.361098833955,33.86729971222229,False,14,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 15:00:00,214.79260573249735,4.9651213649417265,431.6636174231992,211.90589032576008,32.69424397425913,False,15,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 16:00:00,150.71294615012872,3.8035027931787915,273.1902088445323,118.67375990122481,31.63105477307826,False,16,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 17:00:00,82.23205690832675,2.9434901499787363,109.8032163544071,24.62766929610162,30.72636687357256,False,17,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 18:00:00,37.21959163644048,2.366108363811909,7.339378266316828,-32.24632173393556,29.957811332350673,False,18,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 19:00:00,22.662117664794863,2.0797384367697274,-21.315497870973555,-46.057353972538145,29.339000421479977,False,19,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 20:00:00,20.353252242674998,2.000793165516939,-23.510569355776365,-45.8646147639683,29.008400683386018,False,20,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 21:00:00,19.794535956019015,2.0331617278163256,-23.484978757431424,-45.31267644126677,28.89842963770582,False,21,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 22:00:00,19.92781411050958,2.057492269038985,-22.484801161730115,-44.47010754127868,28.715304847057638,False,22,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-04 23:00:00,20.587950070456206,1.9777823662680334,-20.664835377682223,-43.23056781440646,28.451431401548376,False,23,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 00:00:00,21.10063616843632,1.9046542360728698,-19.52801500299867,-42.53330540750786,28.25902176506342,False,0,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 01:00:00,21.45829284530346,1.8509889111365865,-18.910876145070894,-42.22015790151094,28.040141276988503,False,1,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 02:00:00,21.961272253889305,1.7763517957090926,-17.91582064314974,-41.65344469274814,27.73069702013665,False,2,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 03:00:00,22.827669543553938,1.6606501114816394,-15.989086416675399,-40.47740607171097,27.31686884250637,False,3,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 04:00:00,23.78231382786851,1.5496839292591815,-13.828893757736973,-39.160891514864666,26.961435192057667,False,4,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 05:00:00,25.6770246692903,1.5330033030402592,-9.001133704924507,-36.21116167725507,26.820900455065285,False,5,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 06:00:00,39.86822169573713,1.8860020926955832,29.530138069683517,-12.224085718749194,27.368418442718873,False,6,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 07:00:00,83.56123810359982,3.033456150422616,140.32594765244986,53.73125339842741,29.036246836127365,False,7,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 08:00:00,152.17551386182816,5.055766534740058,307.61817970089163,150.3868993043234,31.3745366240984,False,8,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 09:00:00,218.18219298432635,8.082927492443511,467.18186178992937,240.91674131315952,34.6805552888632,False,9,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 10:00:00,265.57681384029235,10.77542213706593,583.1394416557246,306.7872056783663,37.601949792932146,False,10,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 11:00:00,301.1566688104348,10.643581732665917,664.1059505042059,352.3056999611053,37.35033944534289,False,11,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 12:00:00,311.86472233249714,8.593365016641254,678.3343050185987,357.8762176694604,35.42136920986797,False,12,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 13:00:00,285.7476334626618,6.9803211023195795,606.0874477647087,313.35949319972735,34.11243811734109,False,13,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 14:00:00,244.10927816576256,5.622258926904993,502.1576685326816,252.42613144001407,32.98458188799202,False,14,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 15:00:00,195.0586594654676,4.304160007809186,382.0540077681783,182.69118829490148,31.671683288458613,False,15,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 16:00:00,133.82404888174835,3.307973233045978,233.5652407276972,96.43321861290286,30.721592359667326,False,16,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 17:00:00,72.72352112577438,2.675865679117397,87.63627113227483,12.236884327383057,30.235485036873758,False,17,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 18:00:00,34.14004123656141,2.2336847432120615,1.4039878242333543,-34.969738155540114,29.767673736979077,False,18,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 19:00:00,23.133141107424027,1.982310824463321,-19.138880981707192,-44.25433291359454,29.204425461498914,False,19,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 20:00:00,21.710880733340332,1.9384396616682231,-20.084217453384394,-43.73353784839295,28.93422623896136,False,20,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 21:00:00,21.307050610603405,1.9498675710338036,-19.95852974210585,-43.215447923743056,28.892596586431946,False,21,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 22:00:00,21.50336764901311,1.8896027684002386,-19.124016218637966,-42.516986636051314,28.718856099882274,False,22,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-05 23:00:00,21.854092316594187,1.8336561947361376,-18.155952588217605,-41.84370109954792,28.558158215459517,False,23,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 00:00:00,22.06062520554913,1.8288331422737076,-17.666404715990403,-41.55586306381324,28.490396021990716,False,0,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 01:00:00,22.052875705122275,2.0960888723033766,-17.07496368415155,-41.22392826157721,28.386929806309038,False,1,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 02:00:00,22.141600068499784,2.2867001242541822,-16.40481627879485,-40.83311647154881,28.18533236096776,False,2,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 03:00:00,22.38197103633432,2.376399286163274,-15.599397440080137,-40.35776776257773,27.874957929245156,False,3,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 04:00:00,22.256156805500805,2.8520555431387487,-14.727294226771113,-39.83550657541067,27.66530193689722,False,4,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 05:00:00,22.94115618176063,3.60529530671972,-10.932112366862649,-37.478563855343,27.60056827964675,False,5,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 06:00:00,33.75484326875803,5.16082233799669,22.09879444940557,-16.81687115734915,27.9878497677403,False,6,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 07:00:00,67.3695230297454,10.37601507042219,117.91484224666847,40.1693041465009,29.359921731531767,False,7,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 08:00:00,107.97454703975244,24.041117029175023,247.48612169742884,115.47045762850139,30.648579724622895,False,8,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 09:00:00,139.852597229257,44.925032701300246,370.8582895127103,186.08065958215306,31.746960971813284,False,9,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 10:00:00,174.69568228688695,55.908470431773566,479.13745760968953,248.53330489102905,32.99269628006044,False,10,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 11:00:00,211.73379242630986,48.56929662504033,546.3607039083419,286.0576148569917,33.521009328779066,False,11,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 12:00:00,240.08208374434432,31.281956059837626,566.2160208784279,294.851981074246,33.40252845706389,False,12,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 13:00:00,250.1238311401618,15.936916395731673,548.5280614497179,282.46731391382446,33.17646052188986,False,13,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 14:00:00,238.87858570118058,7.901516153197242,498.34531168410354,251.56520982972575,32.883254871071976,False,14,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 15:00:00,197.92116040212173,5.383749299531722,389.98561938853254,186.68070968687906,32.30082563885312,False,15,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 16:00:00,127.21612152617637,3.806506338574213,217.36867939171938,86.3460515269688,31.301648192970813,False,16,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 17:00:00,63.998332862401526,2.7968654035769753,68.96869352772438,2.1734952617458814,30.548264121867064,False,17,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 18:00:00,32.72755054360888,2.240304918738651,-0.17676138487302526,-35.144616847220554,29.991834681640626,False,18,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 19:00:00,23.64494121804754,1.9343893187027603,-17.61195539186335,-43.191285928613645,29.47338057274644,False,19,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 20:00:00,22.402337133986038,1.8481777039959681,-18.236948963160156,-42.48746380114216,29.205468371611065,False,20,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 21:00:00,22.057491511560972,1.965012761844788,-17.844762990679932,-41.86726726408569,29.24419215006509,False,21,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 22:00:00,22.335506601544143,1.9669441220738095,-16.808294258089123,-41.11074498170708,29.146572199268604,False,22,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-06 23:00:00,23.103910491636526,1.8598588287101006,-14.959342761290202,-39.92311208163682,28.944095786735534,False,23,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 00:00:00,23.757786747186994,1.778234406799214,-13.492996670688642,-39.029017824674845,28.713977493113365,False,0,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 01:00:00,24.11592428990373,1.7276298075950456,-12.91248623826421,-38.75604033576299,28.450663798329774,False,1,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 02:00:00,24.145623808654474,1.704093250055739,-13.105116573926539,-38.954833632636756,28.19852721368574,False,2,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 03:00:00,23.691405015997606,1.725129982974244,-14.4487030529465,-39.865238051918354,27.997477577885032,False,3,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 04:00:00,23.398678603099373,1.7365803325287814,-15.243141808878875,-40.37840074450703,27.89777088074095,False,4,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 05:00:00,24.327817795190967,1.738971178950606,-12.532683920228413,-38.59947289436999,27.89397562809512,False,5,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 06:00:00,32.95610164461939,2.001005266956285,11.698655914445007,-23.258450997130666,28.195077703140612,False,6,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 07:00:00,61.52963154101073,2.7981128311706835,85.12380464312587,20.796060270944455,29.123366955971758,False,7,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 08:00:00,110.29333653258414,4.317845448104865,204.87276331848136,90.26158133779235,30.820928011673917,False,8,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 09:00:00,162.7492365907678,6.5596900170365835,333.2058767685552,163.89695016075083,33.54120273532077,False,9,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 10:00:00,215.67571284379162,9.104988432116889,463.1115706898582,238.33086941394967,36.93738094299825,False,10,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 11:00:00,252.87724984077605,10.953617381982596,552.8793338444256,289.0484666216669,38.75225673306235,False,11,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 12:00:00,250.70569255728347,10.441391626557545,538.1203318497311,276.97324766589,37.52192526019268,False,12,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 13:00:00,233.4705462300251,7.87183171001346,489.04443755775196,247.7020596177134,35.16215110517009,False,13,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 14:00:00,218.12700878475752,6.645813358417104,449.6537657196356,224.88094357646096,34.130132124884554,False,14,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 15:00:00,178.97611458173148,5.324024062597152,348.5499668103718,164.24982816604322,32.85917010188673,False,15,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 16:00:00,117.87459115607743,3.7869744072732936,198.31086384595758,76.64929828260689,31.407929806041164,False,16,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 17:00:00,63.453868218440164,2.8143728031237654,69.36140913497134,3.0931681134074083,30.517571704652042,False,17,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 18:00:00,31.68412808847917,2.2748957680190167,-2.303041835480562,-36.26206569197875,29.851315945480653,False,18,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 19:00:00,22.46577959596731,2.005292428054332,-19.990135095116642,-44.46120711913829,29.32400198279171,False,19,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 20:00:00,21.407125938660343,1.9368551389543118,-20.272277299082646,-43.616258376697296,29.127541550659185,False,20,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 21:00:00,21.311013664146177,1.951143743005126,-19.62503069245484,-42.88718809960614,29.128724843883365,False,21,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 22:00:00,21.608425448120286,1.8848419850743001,-18.719880945042398,-42.21314837823699,28.972993117297108,False,22,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-07 23:00:00,22.00374582377337,1.811818262378465,-17.805085786887727,-41.62064987303956,28.833300520580337,False,23,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-08 00:00:00,22.45501239695375,1.7616040827098143,-16.80521852580131,-41.02183500546487,28.75187998131584,False,0,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
present,1,2024-03-08 01:00:00,23.069572331651546,1.717655169768512,-15.35813944712624,-40.1453669485463,28.596148926948455,False,1,Jade Gardens,refuge,0.593,0.047,0.18,0.26,0.64
